ArcLength_mm,X_mm,Y_mm,Z_mm
0,0,0,0
0.1,0,0,0.1
0.2,-0.000335264128168814,0.000410612971165871,0.199998594964891
0.3,-0.000898038705754852,0.00109986816426206,0.29999463594679
0.4,-0.00158692500379745,0.00194357802126263,0.399988703717561
