ArcLength,X,Y,Z
0,0,0,0
1.5,0,0,1.5
3,0.23856174370269,-0.00263323944704005,2.98090558797364
4.5,0.490448297739116,0.060071211807671,4.45827531681219
6,0.404347932894819,0.0982108433987813,5.95531643036779
7.5,0.153432475431489,-0.30442226795267,7.37831608280956
9,0.102692700950732,-0.771287826649935,8.80290796309947
10.5,0.100024882198689,-1.09463988753066,10.267638766854
12,0.1847670447475,-1.42410067227185,11.7285543555189
13.5,0.525228443491754,-1.9982655811078,13.0718416268896
